idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,cloud_preferida,cargo,sql,nosql
30.0,2,4,1,1,24,3,1,1,5,4,11,1,0
22.0,2,1,1,1,24,2,3,2,5,1,3,1,1
26.0,1,4,1,1,12,3,9,1,5,2,-1,1,3
25.0,2,1,1,1,24,3,1,2,5,4,11,0,0
32.0,2,1,1,1,18,1,2,1,5,2,11,1,0
29.0,2,4,1,1,16,3,9,2,5,1,-1,1,0
41.0,2,4,1,1,12,3,9,7,5,2,11,1,0
25.0,2,3,1,1,24,3,9,3,5,4,2,4,6
28.0,1,1,1,1,14,3,9,7,5,4,2,2,3
37.0,2,1,1,1,24,3,1,2,5,1,11,1,0
35.0,1,4,1,1,25,3,2,7,5,2,5,1,2
22.0,1,4,1,1,24,3,2,7,5,1,1,1,0
25.0,2,4,1,1,24,1,1,7,5,4,2,2,2
32.0,2,1,1,1,24,1,3,4,1,2,1,3,0
29.0,1,1,1,1,6,2,9,6,5,2,4,3,1
34.0,2,4,1,1,15,1,2,3,5,3,-1,1,1
31.0,2,1,1,1,15,1,9,3,5,3,6,2,0
45.0,2,4,1,1,24,1,1,1,5,2,1,4,0
27.0,2,4,1,1,18,1,1,1,5,2,1,0,2
25.0,2,4,1,1,23,3,1,1,5,4,-1,1,0
26.0,2,4,1,1,4,3,2,2,5,4,-1,0,0
23.0,2,1,1,1,5,2,1,2,5,2,3,2,0
26.0,1,4,1,1,8,1,9,1,5,4,3,2,0
37.0,2,4,1,1,24,1,9,7,5,2,1,2,1
35.0,2,1,1,1,24,1,5,4,5,3,11,2,0
37.0,2,4,1,1,24,3,2,6,5,4,4,0,1
32.0,2,4,1,1,24,3,8,2,5,2,1,1,0
46.0,1,4,1,1,24,1,9,6,5,2,4,1,0
26.0,2,4,1,1,24,3,6,3,5,1,-1,1,0
32.0,2,4,1,1,15,3,9,7,5,2,11,1,1
36.0,2,4,1,1,6,3,9,2,5,3,4,0,1
26.0,2,1,1,1,24,1,1,1,5,2,11,2,2
22.0,1,4,1,1,20,2,5,7,5,1,3,0,0
28.0,1,4,1,1,15,1,9,7,5,1,1,1,0
35.0,2,4,1,1,24,3,1,2,5,3,-1,0,0
32.0,1,2,1,2,-1,1,5,7,5,4,11,0,0
48.0,2,1,2,1,24,1,4,5,1,4,1,1,1
33.0,1,1,1,1,-1,1,9,3,2,4,5,3,2
35.0,1,1,1,2,-1,1,2,7,5,3,11,4,0
27.0,1,4,1,1,24,3,1,7,5,4,11,4,3
37.0,2,1,1,1,9,1,9,7,5,4,-1,1,0
32.0,2,4,1,1,18,2,2,2,5,1,4,2,0
38.0,1,4,1,1,24,1,7,2,5,2,1,1,1
54.0,2,1,1,1,4,1,3,4,1,2,-1,0,0
39.0,2,1,1,1,13,5,-1,1,5,4,1,3,1
43.0,2,1,1,1,24,1,9,2,4,2,6,5,1
35.0,2,2,1,1,12,3,2,2,5,4,4,0,1
31.0,2,4,1,1,24,3,1,7,5,2,2,0,4
23.0,2,4,1,1,24,3,1,2,5,4,2,1,1
41.0,2,4,1,1,24,1,9,7,5,2,2,5,0
23.0,2,2,1,1,16,1,2,1,5,2,11,4,1
31.0,1,4,1,2,-1,3,1,7,5,3,3,2,0
29.0,2,4,1,1,20,3,2,1,5,3,-1,2,0
27.0,2,4,1,1,24,2,1,2,5,4,1,0,1
35.0,2,4,1,1,24,3,1,7,5,2,-1,1,3
