idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
40.0,feminino,parda,0,True,bahia(ba),pos-graduacao,estatistica/matematica/matematicacomputacional/cienciasatuariais,de7a10anos,python,basededadoslocal,naoseiopinar,analistadesuporte/analistatecnico
29.0,masculino,branca,0,True,riodejaneiro(rj),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,"mongodb,redis,postgresql,elaticsearch,s3",googlecloud(gcp),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
18.0,masculino,parda,0,True,parana(pr),naotenhograduacaoformal,,naotenhoexperiencianaareadedados,python,microsoftaccess,naoseiopinar,outraopcao
29.0,masculino,branca,0,True,distritofederal(df),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,"mysql,sqlserver,postgresql,sqlite",naoseiopinar,cientistadedados/datascientist
24.0,masculino,preta,0,True,saopaulo(sp),estudantedegraduacao,quimica/fisica,menosde1ano,python,googlebigquery,googlecloud(gcp),analistadedados/dataanalyst
24.0,masculino,prefironaoinformar,0,True,riodejaneiro(rj),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,menosde1ano,python,postgresql,amazonwebservices(aws),engenheirodemachinelearning/mlengineer
29.0,masculino,branca,0,True,minasgerais(mg),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,"hive,elaticsearch,amazonauroraourds,sqlserver,presto,s3,mysql,amazonathena,dynamodb,amazonredshift,postgresql,oracle",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
30.0,feminino,branca,0,True,paraiba(pb),graduacao/bacharelado,cienciasbiologicas/farmacia/medicina/areadasaude,de1a2anos,python,s3,amazonwebservices(aws),cientistadedados/datascientist
37.0,feminino,branca,0,False,,mestrado,estatistica/matematica/matematicacomputacional/cienciasatuariais,de1a2anos,python,"sqlserver,mysql,postgresql,googlebigquery",googlecloud(gcp),cientistadedados/datascientist
28.0,masculino,branca,0,True,matogrossodosul(ms),mestrado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,"splunk,amazonathena,googlebigquery",googlecloud(gcp),engenheirodemachinelearning/mlengineer
40.0,masculino,branca,0,True,paraiba(pb),pos-graduacao,outrasengenharias,de1a2anos,python,"saphana,db2,hive,databricks,mysql,amazonredshift,googlebigquery,amazonathena,postgresql,s3,presto,sqlserver,mongodb",googlecloud(gcp),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
28.0,masculino,parda,0,True,saopaulo(sp),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,s3,amazonwebservices(aws),cientistadedados/datascientist
30.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,outrasengenharias,de4a6anos,python,sqlserver,azure(microsoft),analistadenegocios/businessanalyst
33.0,masculino,prefironaoinformar,0,True,ceara(ce),graduacao/bacharelado,quimica/fisica,de4a6anos,python,"googlebigquery,mongodb,postgresql",googlecloud(gcp),analistadedados/dataanalyst
28.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,"googlebigquery,mysql",naoseiopinar,engenheirodedados/arquitetodedados/dataengineer/dataarchitect
34.0,masculino,preta,0,True,minasgerais(mg),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de7a10anos,python,"amazonredshift,sqlserver,oracle",amazonwebservices(aws),analistadebi/bianalyst
31.0,masculino,branca,0,True,parana(pr),pos-graduacao,economia/administracao/contabilidade/financas/negocios,de1a2anos,python,sqlserver,naoseiopinar,analistadenegocios/businessanalyst
30.0,feminino,parda,0,True,saopaulo(sp),mestrado,economia/administracao/contabilidade/financas/negocios,de3a4anos,python,"databricks,googlebigquery",naoseiopinar,cientistadedados/datascientist
39.0,masculino,branca,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,maisde10anos,python,"sqlserver,oracle,s3,sqlite,amazonathena,hive",azure(microsoft),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
31.0,masculino,parda,0,True,minasgerais(mg),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,"s3,amazonredshift,amazonathena,mysql,amazonauroraourds",amazonwebservices(aws),analyticsengineer
,masculino,preta,0,True,minasgerais(mg),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,oracle,amazonwebservices(aws),analistadedados/dataanalyst
38.0,masculino,parda,0,True,minasgerais(mg),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de7a10anos,python,"googlebigquery,saphana",azure(microsoft),analistadedados/dataanalyst
28.0,masculino,branca,0,True,riograndedosul(rs),estudantedegraduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,"mysql,amazonredshift,mariadb,s3,elaticsearch,sqlite",naoseiopinar,engenheirodedados/arquitetodedados/dataengineer/dataarchitect
27.0,feminino,branca,0,True,riodejaneiro(rj),pos-graduacao,economia/administracao/contabilidade/financas/negocios,naotenhoexperiencianaareadedados,python,nenhum,naoseiopinar,outraopcao
26.0,feminino,branca,1,True,saopaulo(sp),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,"postgresql,snowflake,dremio",amazonwebservices(aws),analistadebi/bianalyst
33.0,masculino,parda,0,True,matogrosso(mt),estudantedegraduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,"postgresql,sqlserver,googlebigquery,mysql,cassandra,databricks",naoseiopinar,analistadedados/dataanalyst
28.0,feminino,branca,0,True,saopaulo(sp),graduacao/bacharelado,outraopcao,de1a2anos,python,amazonathena,naoseiopinar,analistadedados/dataanalyst
31.0,feminino,branca,0,True,minasgerais(mg),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,maisde10anos,python,"sqlserver,databricks,s3,mongodb",azure(microsoft),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
25.0,masculino,parda,0,True,saopaulo(sp),pos-graduacao,outrasengenharias,de1a2anos,python,interno,amazonwebservices(aws),analistadedados/dataanalyst
35.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,outrasengenharias,de4a6anos,r,"hive,presto",amazonwebservices(aws),cientistadedados/datascientist
44.0,feminino,branca,0,True,saopaulo(sp),pos-graduacao,cienciassociais,de3a4anos,python,"mysql,googlebigquery,elaticsearch",googlecloud(gcp),analistadedados/dataanalyst
34.0,masculino,indigena,0,True,santacatarina(sc),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de7a10anos,python,"postgresql,sqlserver",amazonwebservices(aws),cientistadedados/datascientist
32.0,masculino,parda,0,True,riodejaneiro(rj),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,googlebigquery,naoseiopinar,engenheirodedados/arquitetodedados/dataengineer/dataarchitect
48.0,masculino,branca,0,True,parana(pr),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,"sqlserver,sybase,oracle,databricks",azure(microsoft),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
33.0,masculino,branca,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,maisde10anos,python,"s3,mysql,sqlserver,databricks,oracle,snowflake,amazonathena,db2,saphana,googlebigquery",naoseiopinar,analyticsengineer
33.0,feminino,branca,1,True,saopaulo(sp),graduacao/bacharelado,outraopcao,de3a4anos,python,"databricks,s3",googlecloud(gcp),cientistadedados/datascientist
26.0,feminino,branca,0,True,saopaulo(sp),pos-graduacao,outrasengenharias,de1a2anos,python,"databricks,saphana",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
28.0,feminino,parda,0,True,minasgerais(mg),mestrado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,"amazonathena,s3,databricks",amazonwebservices(aws),cientistadedados/datascientist
22.0,masculino,parda,0,True,espiritosanto(es),graduacao/bacharelado,outrasengenharias,de1a2anos,python,"oracle,snowflake",amazonwebservices(aws),analistadedados/dataanalyst
31.0,feminino,parda,0,True,parana(pr),pos-graduacao,estatistica/matematica/matematicacomputacional/cienciasatuariais,de7a10anos,sql,googlebigquery,googlecloud(gcp),analistadedados/dataanalyst
37.0,feminino,branca,0,True,parana(pr),pos-graduacao,outrasengenharias,menosde1ano,python,"sqlite,mysql,postgresql",azure(microsoft),analistadesuporte/analistatecnico
30.0,masculino,parda,0,True,riodejaneiro(rj),mestrado,quimica/fisica,de1a2anos,python,"s3,amazonredshift,mysql,amazonathena,sqlserver,postgresql",naoseiopinar,engenheirodedados/arquitetodedados/dataengineer/dataarchitect
36.0,feminino,preta,0,True,riodejaneiro(rj),pos-graduacao,economia/administracao/contabilidade/financas/negocios,maisde10anos,python,saphana,googlecloud(gcp),outraopcao
,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,economia/administracao/contabilidade/financas/negocios,de4a6anos,python,"mysql,firebase",naoseiopinar,outraopcao
40.0,masculino,amarela,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,googlebigquery,googlecloud(gcp),analistadebi/bianalyst
51.0,feminino,branca,0,True,saopaulo(sp),graduacao/bacharelado,economia/administracao/contabilidade/financas/negocios,maisde10anos,python,basesexcelecsvextraidasdiretonosite,azure(microsoft),analistadebi/bianalyst
29.0,masculino,branca,0,True,saopaulo(sp),mestrado,economia/administracao/contabilidade/financas/negocios,menosde1ano,python,metabase,naoseiopinar,analistadedados/dataanalyst
29.0,masculino,branca,0,True,minasgerais(mg),graduacao/bacharelado,outraopcao,de3a4anos,python,"googlebigquery,postgresql,sqlite,sqlserver,mysql,mongodb",azure(microsoft),analistadebi/bianalyst
26.0,masculino,branca,0,True,riodejaneiro(rj),graduacao/bacharelado,outraopcao,naotenhoexperiencianaareadedados,python,googlebigquery,naoseiopinar,outraopcao
44.0,masculino,amarela,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,maisde10anos,julia,saphana,googlecloud(gcp),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
33.0,masculino,parda,0,False,,pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,"googlebigquery,postgresql",naoseiopinar,analistadedados/dataanalyst
39.0,masculino,parda,0,True,riodejaneiro(rj),pos-graduacao,outraopcao,de4a6anos,python,sqlserver,naoseiopinar,analistadebi/bianalyst
25.0,feminino,branca,0,True,saopaulo(sp),graduacao/bacharelado,cienciassociais,de3a4anos,python,"amazonathena,s3,presto,postgresql",amazonwebservices(aws),analistadedados/dataanalyst
31.0,masculino,branca,0,True,parana(pr),pos-graduacao,outrasengenharias,de3a4anos,python,"googlebigquery,postgresql",googlecloud(gcp),engenheirodemachinelearning/mlengineer
20.0,masculino,parda,0,True,saopaulo(sp),estudantedegraduacao,marketing/publicidade/comunicacao/jornalismo,de1a2anos,sql,"amazonredshift,s3,postgresql",amazonwebservices(aws),analistadedados/dataanalyst
25.0,masculino,preta,0,True,minasgerais(mg),graduacao/bacharelado,outrasengenharias,de3a4anos,python,"postgresql,amazonathena,s3,amazonauroraourds",naoseiopinar,cientistadedados/datascientist
24.0,masculino,parda,0,True,saopaulo(sp),pos-graduacao,outrasengenharias,de1a2anos,python,"postgresql,googlebigquery,snowflake,dynamodb,databricks",azure(microsoft),analyticsengineer
27.0,masculino,preta,0,True,parana(pr),graduacao/bacharelado,economia/administracao/contabilidade/financas/negocios,menosde1ano,python,excel,amazonwebservices(aws),analistadedados/dataanalyst
26.0,masculino,branca,0,True,riodejaneiro(rj),graduacao/bacharelado,outrasengenharias,de1a2anos,python,sqlserver,naoseiopinar,analistadebi/bianalyst
,masculino,preta,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de7a10anos,python,"mysql,mariadb,sqlserver,postgresql",googlecloud(gcp),analistadedados/dataanalyst
32.0,masculino,branca,0,True,minasgerais(mg),graduacao/bacharelado,outrasengenharias,menosde1ano,python,googlebigquery,naoseiopinar,engenheirodedados/arquitetodedados/dataengineer/dataarchitect
